u,v,dist,ux,uy,vx,vy
1_00070,1_00071,2236.06797749979,3672996.648225992,-2659882.724113807,3671996.648225992,-2661882.724113807
1_00070,1_00087,2262.741699796952,3672996.648225992,-2659882.724113807,3674596.648225992,-2658282.724113807
1_00071,1_00090,2209.072203437452,3671996.648225992,-2661882.724113807,3671796.648225992,-2664082.724113807
1_00072,1_00076,2154.0659228538016,3671396.648225992,-2653082.724113807,3673396.648225992,-2652282.724113807
1_00072,1_00108,2209.072203437452,3671396.648225992,-2653082.724113807,3671596.648225992,-2655282.724113807
1_00074,1_00101,2126.02916254693,3675996.648225992,-2668882.724113807,3674396.648225992,-2667482.724113807
1_00075,1_00113,2163.3307652783938,3646296.648174009,-2664082.724113807,3645096.648174009,-2665882.724113807
1_00077,1_00094,2126.02916254693,3642696.648174009,-2653082.724113807,3641296.648174009,-2654682.724113807
1_00078,1_00114,2350.000025991816,3661396.648225992,-2686082.724113807,3659046.6482,-2686082.724113807
1_00080,1_00105,2884.4410203711914,3641096.648174009,-2659882.724113807,3643496.648174009,-2658282.724113807
1_00081,1_00110,2154.0659228538016,3640696.648174009,-2670482.724113807,3639896.648174009,-2672482.724113807
1_00083,1_00102,2236.06797749979,3646696.648174009,-2667282.724113807,3646296.648174009,-2669482.724113807
1_00083,1_00113,2126.02916254693,3646696.648174009,-2667282.724113807,3645096.648174009,-2665882.724113807
1_00089,1_00094,2126.02916254693,3639696.648174009,-2656082.724113807,3641296.648174009,-2654682.724113807
1_00091,1_00113,2126.02916254693,3643696.648174009,-2667482.724113807,3645096.648174009,-2665882.724113807
1_00092,1_00112,2154.0659228538016,3678196.648225992,-2681682.724113807,3680196.648225992,-2682482.724113807
1_00098,1_00114,2350.0000259913504,3656696.648174009,-2686082.724113807,3659046.6482,-2686082.724113807
1_00099,1_00109,2332.38075793812,3680196.648225992,-2673682.724113807,3678196.648225992,-2672482.724113807
2_00000,2_00001,2154.0659228538016,3643349.296728103,-2694332.724113806,3642549.296728103,-2696332.724113806
2_00000,2_00041,2154.0659228538016,3643349.296728103,-2694332.724113806,3644149.296728103,-2692332.724113806
2_00002,2_00015,2200.0,3688143.9996718974,-2666932.724113806,3690343.9996718974,-2666932.724113806
2_00002,2_00132,2200.0,3688143.9996718974,-2666932.724113806,3685943.9996718974,-2666932.724113806
2_00003,2_00004,2473.8633753705963,3639749.296728103,-2686932.724113806,3639149.296728103,-2684532.724113806
2_00003,2_00009,2441.3111231467406,3639749.296728103,-2686932.724113806,3641749.296728103,-2688332.724113806
2_00003,2_00024,2441.3111231467406,3639749.296728103,-2686932.724113806,3637749.296728103,-2688332.724113806
2_00003,2_00074,2200.0,3639749.296728103,-2686932.724113806,3639749.296728103,-2689132.724113806
2_00003,2_00092,2154.0659228538016,3639749.296728103,-2686932.724113806,3637749.296728103,-2686132.724113806
2_00004,2_00092,2126.02916254693,3639149.296728103,-2684532.724113806,3637749.296728103,-2686132.724113806
2_00004,2_00130,2163.3307652783938,3639149.296728103,-2684532.724113806,3637349.296728103,-2683332.724113806
2_00005,2_00022,2828.42712474619,3681343.9996718974,-2650932.724113806,3681743.9996718974,-2648132.724113806
2_00005,2_00071,2163.3307652783938,3681343.9996718974,-2650932.724113806,3683143.9996718974,-2649732.724113806
2_00005,2_00091,2280.350850198276,3681343.9996718974,-2650932.724113806,3681943.9996718974,-2653132.724113806
2_00005,2_00093,2952.96461204668,3681343.9996718974,-2650932.724113806,3683943.9996718974,-2652332.724113806
2_00005,2_00133,2163.3307652783938,3681343.9996718974,-2650932.724113806,3679543.9996718974,-2649732.724113806
2_00006,2_00060,2200.0,3629949.296728103,-2666932.724113806,3632149.296728103,-2666932.724113806
2_00006,2_00103,2200.0,3629949.296728103,-2666932.724113806,3627749.296728103,-2666932.724113806
2_00007,2_00010,2828.42712474619,3636749.296728103,-2650932.724113806,3636349.296728103,-2648132.724113806
2_00007,2_00017,2952.96461204668,3636749.296728103,-2650932.724113806,3634149.296728103,-2652332.724113806
2_00007,2_00037,2163.3307652783938,3636749.296728103,-2650932.724113806,3638549.296728103,-2649732.724113806
2_00007,2_00070,2280.350850198276,3636749.296728103,-2650932.724113806,3636149.296728103,-2653132.724113806
2_00007,2_00134,2163.3307652783938,3636749.296728103,-2650932.724113806,3634949.296728103,-2649732.724113806
2_00008,2_00023,2200.0,3688143.9996718974,-2674932.724113806,3690343.9996718974,-2674932.724113806
2_00008,2_00101,2200.0,3688143.9996718974,-2674932.724113806,3685943.9996718974,-2674932.724113806
2_00009,2_00074,2154.0659228538016,3641749.296728103,-2688332.724113806,3639749.296728103,-2689132.724113806
2_00009,2_00076,2280.350850198276,3641749.296728103,-2688332.724113806,3643549.296728103,-2689732.724113806
2_00011,2_00083,2200.0,3635749.296728103,-2684732.724113806,3635749.296728103,-2686932.724113806
2_00011,2_00092,2441.3111231467406,3635749.296728103,-2684732.724113806,3637749.296728103,-2686132.724113806
2_00011,2_00109,2236.06797749979,3635749.296728103,-2684732.724113806,3635349.296728103,-2682532.724113806
2_00011,2_00130,2126.02916254693,3635749.296728103,-2684732.724113806,3637349.296728103,-2683332.724113806
2_00012,2_00028,2154.0659228538016,3680343.9996718974,-2686132.724113806,3682343.9996718974,-2686932.724113806
2_00012,2_00045,2154.0659228538016,3680343.9996718974,-2686132.724113806,3678343.9996718974,-2686932.724113806
2_00012,2_00087,2200.0,3680343.9996718974,-2686132.724113806,3680343.9996718974,-2688332.724113806
2_00012,2_00107,2126.02916254693,3680343.9996718974,-2686132.724113806,3678943.9996718974,-2684532.724113806
2_00012,2_00135,2441.3111231467406,3680343.9996718974,-2686132.724113806,3682343.9996718974,-2684732.724113806
2_00012,2_00138,2828.42712474619,3680343.9996718974,-2686132.724113806,3680743.9996718974,-2683332.724113806
2_00013,2_00029,2200.0,3629949.296728103,-2674932.724113806,3632149.296728103,-2674932.724113806
2_00013,2_00114,2200.0,3629949.296728103,-2674932.724113806,3627749.296728103,-2674932.724113806
2_00014,2_00025,2236.06797749979,3629149.296728103,-2683332.724113806,3631349.296728103,-2683732.724113806
2_00015,2_00068,2200.0,3690343.9996718974,-2666932.724113806,3692543.9996718974,-2666932.724113806
2_00016,2_00049,2163.3307652783938,3681943.9996718974,-2676132.724113806,3683743.9996718974,-2674932.724113806
2_00016,2_00061,2154.0659228538016,3681943.9996718974,-2676132.724113806,3682743.9996718974,-2678132.724113806
2_00017,2_00070,2154.0659228538016,3634149.296728103,-2652332.724113806,3636149.296728103,-2653132.724113806
2_00017,2_00137,2400.0,3634149.296728103,-2652332.724113806,3631749.296728103,-2652332.724113806
2_00018,2_00036,2236.06797749979,3674543.9996718974,-2689732.724113806,3672543.9996718974,-2690732.724113806
2_00018,2_00081,2668.332812825267,3674543.9996718974,-2689732.724113806,3673943.9996718974,-2692332.724113806
2_00018,2_00096,2280.350850198276,3674543.9996718974,-2689732.724113806,3676343.9996718974,-2688332.724113806
2_00019,2_00035,2126.02916254693,3681343.9996718974,-2666532.724113806,3682743.9996718974,-2664932.724113806
2_00019,2_00040,2433.105012119288,3681343.9996718974,-2666532.724113806,3683743.9996718974,-2666932.724113806
2_00019,2_00063,2236.06797749979,3681343.9996718974,-2666532.724113806,3682343.9996718974,-2668532.724113806
2_00020,2_00115,2126.02916254693,3636749.296728103,-2666532.724113806,3635349.296728103,-2664932.724113806
2_00020,2_00116,2433.105012119288,3636749.296728103,-2666532.724113806,3634349.296728103,-2666932.724113806
2_00020,2_00125,2236.06797749979,3636749.296728103,-2666532.724113806,3635749.296728103,-2668532.724113806
2_00021,2_00024,2154.0659228538016,3635749.296728103,-2689132.724113806,3637749.296728103,-2688332.724113806
2_00021,2_00083,2200.0,3635749.296728103,-2689132.724113806,3635749.296728103,-2686932.724113806
2_00023,2_00042,2200.0,3690343.9996718974,-2674932.724113806,3692543.9996718974,-2674932.724113806
2_00024,2_00074,2154.0659228538016,3637749.296728103,-2688332.724113806,3639749.296728103,-2689132.724113806
2_00024,2_00083,2441.3111231467406,3637749.296728103,-2688332.724113806,3635749.296728103,-2686932.724113806
2_00024,2_00092,2200.0,3637749.296728103,-2688332.724113806,3637749.296728103,-2686132.724113806
2_00025,2_00075,2200.0,3631349.296728103,-2683732.724113806,3633549.296728103,-2683732.724113806
2_00026,2_00105,2126.02916254693,3675143.9996718974,-2651132.724113806,3676743.9996718974,-2649732.724113806
2_00026,2_00121,2126.02916254693,3675143.9996718974,-2651132.724113806,3673743.9996718974,-2649532.724113806
2_00027,2_00069,2126.02916254693,3642949.296728103,-2651132.724113806,3641349.296728103,-2649732.724113806
2_00027,2_00077,2126.02916254693,3642949.296728103,-2651132.724113806,3644349.296728103,-2649532.724113806
2_00028,2_00087,2441.3111231467406,3682343.9996718974,-2686932.724113806,3680343.9996718974,-2688332.724113806
2_00028,2_00104,2200.0,3682343.9996718974,-2686932.724113806,3682343.9996718974,-2689132.724113806
2_00028,2_00135,2200.0,3682343.9996718974,-2686932.724113806,3682343.9996718974,-2684732.724113806
2_00029,2_00124,2200.0,3632149.296728103,-2674932.724113806,3634349.296728103,-2674932.724113806
2_00030,2_00046,2200.0,3651949.296728103,-2691532.724113806,3654149.296728103,-2691532.724113806
2_00030,2_00122,2200.0,3651949.296728103,-2691532.724113806,3649749.296728103,-2691532.724113806
2_00031,2_00080,2163.3307652783938,3682743.9996718974,-2682532.724113806,3684543.9996718974,-2683732.724113806
2_00031,2_00095,2200.0,3682743.9996718974,-2682532.724113806,3682743.9996718974,-2680332.724113806
2_00031,2_00135,2236.06797749979,3682743.9996718974,-2682532.724113806,3682343.9996718974,-2684732.724113806
2_00031,2_00138,2154.0659228538016,3682743.9996718974,-2682532.724113806,3680743.9996718974,-2683332.724113806
2_00032,2_00036,2154.0659228538016,3670543.9996718974,-2691532.724113806,3672543.9996718974,-2690732.724113806
2_00032,2_00126,2200.0,3670543.9996718974,-2691532.724113806,3668343.9996718974,-2691532.724113806
2_00033,2_00099,2200.0,3635349.296728103,-2680332.724113806,3635349.296728103,-2678132.724113806
2_00033,2_00109,2200.0,3635349.296728103,-2680332.724113806,3635349.296728103,-2682532.724113806
2_00034,2_00070,2154.0659228538016,3635349.296728103,-2655132.724113806,3636149.296728103,-2653132.724113806
2_00034,2_00110,2200.0,3635349.296728103,-2655132.724113806,3635349.296728103,-2657332.724113806
2_00035,2_00040,2236.06797749979,3682743.9996718974,-2664932.724113806,3683743.9996718974,-2666932.724113806
2_00035,2_00108,2200.0,3682743.9996718974,-2664932.724113806,3682743.9996718974,-2662732.724113806
2_00036,2_00081,2126.02916254693,3672543.9996718974,-2690732.724113806,3673943.9996718974,-2692332.724113806
2_00037,2_00069,2800.0,3638549.296728103,-2649732.724113806,3641349.296728103,-2649732.724113806
2_00037,2_00082,2126.02916254693,3638549.296728103,-2649732.724113806,3639949.296728103,-2651332.724113806
2_00037,2_00088,2126.02916254693,3638549.296728103,-2649732.724113806,3639949.296728103,-2648132.724113806
2_00038,2_00115,2200.0,3635349.296728103,-2662732.724113806,3635349.296728103,-2664932.724113806
2_00038,2_00117,2236.06797749979,3635349.296728103,-2662732.724113806,3635749.296728103,-2660532.724113806
2_00039,2_00065,2912.043955712207,3664743.9996718974,-2694332.724113806,3663943.9996718974,-2691532.724113806
2_00039,2_00113,2200.0,3664743.9996718974,-2694332.724113806,3664743.9996718974,-2696532.724113806
2_00040,2_00063,2126.02916254693,3683743.9996718974,-2666932.724113806,3682343.9996718974,-2668532.724113806
2_00040,2_00132,2200.0,3683743.9996718974,-2666932.724113806,3685943.9996718974,-2666932.724113806
2_00041,2_00054,2126.02916254693,3644149.296728103,-2692332.724113806,3645549.296728103,-2690732.724113806
2_00041,2_00076,2668.332812825267,3644149.296728103,-2692332.724113806,3643549.296728103,-2689732.724113806
2_00043,2_00056,2200.0,3686143.9996718974,-2659132.724113806,3688343.9996718974,-2659132.724113806
2_00043,2_00090,2200.0,3686143.9996718974,-2659132.724113806,3683943.9996718974,-2659132.724113806
2_00044,2_00049,2236.06797749979,3682743.9996718974,-2672932.724113806,3683743.9996718974,-2674932.724113806
