u,v,dist,ux,uy,vx,vy
2E1_2,2_00062,1607.31029426834,3689726.454221233,-2653421.414896727,3688543.9996718974,-2652332.724113806
2E1_3,2_00043,2559.12299843048,3685386.066315739,-2656688.414896723,3686143.9996718974,-2659132.724113806
2E1_4,2_00050,2388.5779086701946,3689726.454221233,-2656688.414896723,3690543.9996718974,-2658932.724113806
2E2_1,2_00043,2151.979985218545,3685625.9518428906,-2661221.418515494,3686143.9996718974,-2659132.724113806
2E2_2,2_00050,2290.786828804509,3690446.110802732,-2661221.418515494,3690543.9996718974,-2658932.724113806
2E2_3,2_00132,2464.91014523311,3685625.9518428906,-2664488.4189768527,3685943.9996718974,-2666932.724113806
2E2_4,2_00015,2446.437059394229,3690446.110802732,-2664488.4189768527,3690343.9996718974,-2666932.724113806
2E3_1,2_00132,2211.6818466868385,3685625.951843104,-2669121.418283754,3685943.9996718974,-2666932.724113806
2E3_2,2_00015,2191.0748167737006,3690446.110803201,-2669121.418283754,3690343.9996718974,-2666932.724113806
2E3_3,2_00101,2564.107364763362,3685625.951843104,-2672388.418283794,3685943.9996718974,-2674932.724113806
2E3_4,2_00023,2546.3540287574924,3690446.110803201,-2672388.418283794,3690343.9996718974,-2674932.724113806
2E4_1,2_00101,2380.014105895129,3685386.0663157967,-2677246.417592729,3685943.9996718974,-2674932.724113806
2E4_2,2_00023,2394.689937762676,3689726.454221253,-2677246.417592729,3690343.9996718974,-2674932.724113806
2E4_3,2_00080,2798.976790398312,3685386.0663157967,-2681063.418054093,3684543.9996718974,-2683732.724113806
2E4_4,2_00111,2400.4135298854653,3689726.454221253,-2681063.418054093,3688943.9996718974,-2683332.724113806
