seat_id,floor,zone,x,y,node
2A2_004,2,A2,3628196.785376895,-2665779.5180329443,2A2_3
2A2_005,2,A2,3628948.7231493015,-2665778.468797963,2A2_3
2A2_006,2,A2,3629700.660921708,-2665777.419562982,2A2_3
2A2_007,2,A2,3630452.598694115,-2665776.3703280007,2A2_4
2A2_008,2,A2,3631204.5364665217,-2665775.32109302,2A2_4
2A2_009,2,A2,3631956.474238929,-2665774.2718580384,2A2_4
2A2_010,2,A2,3632708.412011336,-2665773.222623057,2A2_4
2A2_011,2,A2,3633460.349783743,-2665772.173388076,2A2_4
2A2_012,2,A2,3634212.2875561495,-2665771.124153095,2A2_4
2A2_013,2,A2,3625939.950626363,-2665050.652125795,2A2_3
2A2_014,2,A2,3626691.88839877,-2665049.6028908137,2A2_3
2A2_015,2,A2,3627443.826171177,-2665048.553655833,2A2_3
2A2_016,2,A2,3628195.763943584,-2665047.504420852,2A2_3
2A2_017,2,A2,3628947.701715991,-2665046.45518587,2A2_3
2A2_018,2,A2,3629699.6394883976,-2665045.405950889,2A2_3
2A2_019,2,A2,3630451.577260805,-2665044.3567159083,2A2_4
2A2_020,2,A2,3631203.515033211,-2665043.307480927,2A2_4
2A2_021,2,A2,3631955.452805618,-2665042.258245946,2A2_4
2A2_022,2,A2,3632707.3905780255,-2665041.2090109647,2A2_4
2A2_023,2,A2,3633459.328350432,-2665040.1597759835,2A2_4
2A2_024,2,A2,3634211.266122839,-2665039.1105410024,2A2_4
2A2_025,2,A2,3625938.929193052,-2664318.638513704,2A2_3
2A2_026,2,A2,3626690.8669654583,-2664317.589278722,2A2_3
2A2_027,2,A2,3627442.804737866,-2664316.540043741,2A2_3
2A2_028,2,A2,3628194.742510273,-2664315.4908087603,2A2_3
2A2_029,2,A2,3628946.68028268,-2664314.441573779,2A2_3
2A2_030,2,A2,3629698.618055087,-2664313.392338798,2A2_3
2A2_031,2,A2,3630450.555827493,-2664312.3431038167,2A2_4
2A2_032,2,A2,3631202.4935999,-2664311.2938688355,2A2_4
2A2_033,2,A2,3631954.4313723072,-2664310.2446338544,2A2_4
2A2_034,2,A2,3632706.3691447135,-2664309.195398873,2A2_4
2A2_035,2,A2,3633458.306917121,-2664308.146163892,2A2_4
2A2_036,2,A2,3634210.244689528,-2664307.096928911,2A2_4
2A2_037,2,A2,3625937.907759741,-2663586.624901611,2A2_3
2A2_038,2,A2,3626689.845532148,-2663585.5756666297,2A2_3
2A2_039,2,A2,3627441.783304555,-2663584.526431649,2A2_3
2A2_040,2,A2,3628193.721076962,-2663583.477196668,2A2_3
2A2_041,2,A2,3628945.658849369,-2663582.4279616866,2A2_3
2A2_042,2,A2,3629697.596621776,-2663581.378726705,2A2_3
2A2_043,2,A2,3630449.5343941823,-2663580.3294917243,2A2_4
2A2_044,2,A2,3631201.472166589,-2663579.280256743,2A2_4
2A2_045,2,A2,3631953.409938996,-2663578.231021762,2A2_4
2A2_046,2,A2,3632705.3477114034,-2663577.1817867807,2A2_4
2A2_047,2,A2,3633457.28548381,-2663576.1325517995,2A2_4
2A2_048,2,A2,3634209.223256217,-2663575.0833168183,2A2_4
2A2_049,2,A2,3625936.88632643,-2662854.611289519,2A2_3
2A2_050,2,A2,3626688.8240988366,-2662853.5620545377,2A2_3
2A2_051,2,A2,3627440.761871244,-2662852.512819557,2A2_3
2A2_052,2,A2,3628192.699643651,-2662851.463584576,2A2_1
2A2_053,2,A2,3628944.6374160578,-2662850.4143495946,2A2_1
2A2_054,2,A2,3629696.575188465,-2662849.365114613,2A2_1
2A2_055,2,A2,3630448.512960871,-2662848.3158796323,2A2_4
2A2_056,2,A2,3631200.450733278,-2662847.266644651,2A2_4
2A2_057,2,A2,3631952.388505685,-2662846.21740967,2A2_2
2A2_058,2,A2,3632704.326278092,-2662845.1681746887,2A2_2
2A2_059,2,A2,3633456.264050499,-2662844.1189397075,2A2_2
2A2_060,2,A2,3634208.201822906,-2662843.0697047263,2A2_4
2A2_061,2,A2,3625935.864893119,-2662122.5976774264,2A2_1
2A2_062,2,A2,3626687.8026655256,-2662121.548442445,2A2_1
2A2_063,2,A2,3627439.740437933,-2662120.4992074645,2A2_1
2A2_064,2,A2,3628191.67821034,-2662119.449972484,2A2_1
2A2_065,2,A2,3628943.6159827462,-2662118.400737502,2A2_1
2A2_066,2,A2,3629695.5537551534,-2662117.351502521,2A2_1
2A2_067,2,A2,3630447.49152756,-2662116.30226754,2A2_2
2A2_068,2,A2,3631199.429299967,-2662115.2530325586,2A2_2
2A2_069,2,A2,3631951.367072374,-2662114.2037975774,2A2_2
2A2_070,2,A2,3632703.304844781,-2662113.154562596,2A2_2
2A2_071,2,A2,3633455.242617188,-2662112.105327615,2A2_2
2A2_072,2,A2,3634207.1803895943,-2662111.056092634,2A2_2
2A2_073,2,A2,3625934.843459808,-2661390.584065334,2A2_1
2A2_074,2,A2,3626686.781232215,-2661389.5348303528,2A2_1
2A2_075,2,A2,3627438.719004622,-2661388.485595372,2A2_1
2A2_076,2,A2,3628190.656777029,-2661387.436360391,2A2_1
2A2_077,2,A2,3628942.594549436,-2661386.3871254097,2A2_1
2A2_078,2,A2,3629694.532321843,-2661385.3378904285,2A2_1
2A2_079,2,A2,3630446.4700942496,-2661384.288655448,2A2_2
2A2_080,2,A2,3631198.407866656,-2661383.239420466,2A2_2
2A2_081,2,A2,3631950.345639064,-2661382.190185485,2A2_2
2A2_082,2,A2,3632702.283411471,-2661381.140950504,2A2_2
2A2_083,2,A2,3633454.221183877,-2661380.0917155226,2A2_2
2A2_084,2,A2,3634206.158956284,-2661379.0424805414,2A2_2
2A2_085,2,A2,3625933.822026497,-2660658.5704532424,2A2_1
2A2_086,2,A2,3626685.759798904,-2660657.521218261,2A2_1
2A2_087,2,A2,3627437.697571311,-2660656.4719832805,2A2_1
2A2_088,2,A2,3628189.6353437183,-2660655.4227483,2A2_1
2A2_089,2,A2,3628941.573116125,-2660654.373513318,2A2_1
2A2_090,2,A2,3629693.510888532,-2660653.324278337,2A2_1
2A2_091,2,A2,3630445.4486609385,-2660652.275043356,2A2_2
2A2_092,2,A2,3631197.386433345,-2660651.2258083746,2A2_2
2A2_093,2,A2,3631949.324205753,-2660650.1765733934,2A2_2
2A2_094,2,A2,3632701.26197816,-2660649.127338412,2A2_2
2A2_095,2,A2,3633453.1997505664,-2660648.078103431,2A2_2
2A2_096,2,A2,3634205.137522973,-2660647.02886845,2A2_2
2A2_097,2,A2,3625932.800593186,-2659926.55684115,2A2_1
2A2_098,2,A2,3626684.738365593,-2659925.5076061687,2A2_1
2A2_099,2,A2,3627436.676138,-2659924.458371188,2A2_1
2A2_100,2,A2,3628188.6139104073,-2659923.409136207,2A2_1
2A2_101,2,A2,3628940.551682814,-2659922.3599012257,2A2_1
2A2_102,2,A2,3629692.4894552208,-2659921.3106662445,2A2_1
2A2_103,2,A2,3630444.427227628,-2659920.2614312638,2A2_2
2A2_104,2,A2,3631196.365000034,-2659919.212196282,2A2_2
2A2_105,2,A2,3631948.3027724414,-2659918.162961301,2A2_2
2A2_106,2,A2,3632700.2405448486,-2659917.11372632,2A2_2
2A2_107,2,A2,3633452.1783172553,-2659916.0644913386,2A2_2
2A2_108,2,A2,3634204.116089662,-2659915.0152563574,2A2_2
2E2_001,2,E2,3692112.420743013,-2665782.6657378874,2E2_4
2E2_002,2,E2,3691360.482970607,-2665781.616502906,2E2_4
2E2_003,2,E2,3690608.5451981993,-2665780.567267925,2E2_4
2E2_004,2,E2,3689856.607425792,-2665779.5180329443,2E2_4
2E2_005,2,E2,3689104.6696533854,-2665778.468797963,2E2_4
2E2_006,2,E2,3688352.731880978,-2665777.419562982,2E2_4
2E2_007,2,E2,3687600.794108572,-2665776.3703280007,2E2_3
2E2_008,2,E2,3686848.856336165,-2665775.32109302,2E2_3
2E2_009,2,E2,3686096.918563758,-2665774.2718580384,2E2_3
2E2_010,2,E2,3685344.980791351,-2665773.222623057,2E2_3
2E2_011,2,E2,3684593.043018944,-2665772.173388076,2E2_3
2E2_012,2,E2,3683841.105246538,-2665771.124153095,2E2_3
2E2_013,2,E2,3692113.442176324,-2665050.652125795,2E2_4
2E2_014,2,E2,3691361.504403917,-2665049.6028908137,2E2_4
2E2_015,2,E2,3690609.56663151,-2665048.553655833,2E2_4
2E2_016,2,E2,3689857.628859103,-2665047.504420852,2E2_4
2E2_017,2,E2,3689105.691086696,-2665046.45518587,2E2_4
2E2_018,2,E2,3688353.753314289,-2665045.405950889,2E2_4
2E2_019,2,E2,3687601.8155418825,-2665044.3567159083,2E2_3
2E2_020,2,E2,3686849.877769476,-2665043.307480927,2E2_3
2E2_021,2,E2,3686097.9399970686,-2665042.258245946,2E2_3
2E2_022,2,E2,3685346.002224661,-2665041.2090109647,2E2_3
2E2_023,2,E2,3684594.064452255,-2665040.1597759835,2E2_3
2E2_024,2,E2,3683842.126679848,-2665039.1105410024,2E2_3
2E2_025,2,E2,3692114.463609635,-2664318.638513704,2E2_4
2E2_026,2,E2,3691362.525837228,-2664317.589278722,2E2_4
2E2_027,2,E2,3690610.588064821,-2664316.540043741,2E2_4
2E2_028,2,E2,3689858.650292414,-2664315.4908087603,2E2_4
2E2_029,2,E2,3689106.712520007,-2664314.441573779,2E2_4
2E2_030,2,E2,3688354.7747476,-2664313.392338798,2E2_4
2E2_031,2,E2,3687602.8369751936,-2664312.3431038167,2E2_3
2E2_032,2,E2,3686850.899202787,-2664311.2938688355,2E2_3
2E2_033,2,E2,3686098.96143038,-2664310.2446338544,2E2_3
